,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
0,001-01,False,71.2,Christophe MAÎTRE / EXD / Rassemblement national,EXD,39.37,Xavier BRETON / LR / Les Républicains,LR,23.96,Sébastien GUERAUD / NFP / Parti socialiste,NFP,23.45,True,False,15.409999999999997,
1,001-02,False,72.09,Andréa KOTARAC / EXD / Rassemblement national,EXD,39.2,Romain DAUBIÉ / ENS / Modem,ENS,24.21,Maxime MEYER / NFP / Les Écologistes,NFP,23.61,True,False,14.990000000000002,
2,001-03,False,65.33,Olga GIVERNET / ENS / Renaissance,ENS,32.43,Karine DUBARRY / EXD / Rassemblement national,EXD,32.11,Christian JOLIE / NFP / La France insoumise,NFP,25.12,True,False,0.3200000000000003,<0.5
3,001-04,False,70.31,Jérôme BUISSON / EXD / Rassemblement national,EXD,46.01,Christophe COQUELET / ENS / Horizons,ENS,21.87,Charline LIOTIER / NFP / Les Écologistes,NFP,19.96,True,False,24.139999999999997,
4,001-05,False,68.0,Marc CHAVENT / EXD / À droite ! Les amis d’Éric Ciotti,EXD,39.12,Florence PISANI / NFP / La France insoumise,NFP,24.34,,,,True,True,14.779999999999998,
5,002-01,False,65.35,Nicolas DRAGON / EXD / Rassemblement national,EXD,54.49,,,,,,,False,False,,
6,002-02,False,63.82,Philippe TORRE / EXD / Rassemblement national,EXD,47.06,Julien DIVE / LR / Du courage !,LR,35.66,,,,True,False,11.400000000000006,
7,002-03,False,64.16,Eddy CASTERMAN / EXD / Rassemblement national,EXD,57.64,,,,,,,False,False,,
8,002-04,False,61.41,José BEAURAIN / EXD / Rassemblement national,EXD,55.04,,,,,,,False,False,,
9,002-05,False,65.34,Jocelyn DESSIGNY / EXD / Rassemblement national,EXD,53.07,,,,,,,False,False,,
10,003-01,False,69.18,Anne-Marie THÈS / EXD / Rassemblement national,EXD,38.61,Yannick MONNET / NFP / Parti communiste français,NFP,28.84,,,,True,True,9.77,
11,003-02,False,68.04,Jorys BOVET / EXD / Rassemblement national,EXD,34.33,Louise HERITIER / NFP / La France insoumise,NFP,24.06,Romain LEFEBVRE / LR / Les Républicains,LR,19.67,True,True,10.27,
12,003-03,False,69.08,Nicolas RAY / LR / Les Républicains,LR,40.05,Rémy QUENEY / EXD / Rassemblement national,EXD,37.82,Aline JEUDI / NFP / Parti socialiste,NFP,20.4,True,False,2.229999999999997,<5
13,004-01,False,70.4,Christian GIRARD / EXD / Rassemblement national,EXD,44.3,Felix BLANC / NFP / Les Écologistes,NFP,27.26,Benoit GAUVAN / ENS / Renaissance,ENS,19.35,True,True,17.039999999999996,
